"Деятельность
финансовая
и страховая","Деятельность по
операциям с
недвижимым
имуществом","Деятельность
профессиональная,
научная и
техническая","Деятельность
административная и
сопутствующие дополнительные
услуги","Государственное
управление
и обеспечение
военной
безопасности;
социальное
обеспечение",Образование,"Деятельность в
области
здравоохранения и
социальных
услуг","Деятельность
в области
культуры,
спорта,
организации
досуга и
развлечений","Предоставление
прочих
видов услуг","Деятельность
домашних
хозяйств
как работодателей"
"1,1","12,6","6,7","2,6","6,1","2,6","4,0","1,0","0,6","0,0",федеральный округ
"0,2","9,1","1,4","0,9","3,8","2,7","3,5","0,6","0,4","0,0",Белгородская область
"0,3","12,0","1,2","1,4","7,0","3,5","5,2","2,7","0,4","0,0",Брянская область
"0,4","12,3","3,0","1,5","5,9","2,9","7,3","0,8","0,4","0,0",Владимирская область
"0,4","8,8","4,8","2,1","6,3","3,6","4,4","0,5","0,4","0,0",Воронежская область
"0,5","13,5","3,7","2,1","9,3","4,2","7,0","1,3","0,5","0,0",Ивановская область
"0,2","13,0","4,2","1,8","5,4","2,8","4,4","0,7","0,4","0,0",Калужская область
"0,3","10,9","1,7","1,6","9,2","4,8","5,6","1,0","0,5","0,0",Костромская область
"0,3","8,6","2,2","0,9","5,1","3,8","4,8","0,6","0,4","0,0",Курская область
"0,3","9,8","1,2","1,1","4,7","2,7","3,7","0,5","0,4","0,0",Липецкая область
"0,6","16,7","5,0","2,6","8,2","2,8","4,6","1,2","0,5","0,0",Московская область
"0,3","9,5","1,2","1,0","6,6","5,9","5,2","0,8","0,4","0,0",Орловская область
"0,4","13,7","2,3","1,3","6,8","4,2","5,3","0,5","0,4","0,0",Рязанская область
"0,5","9,5","2,0","1,9","7,1","4,0","5,7","0,8","0,4","0,0",Смоленская область
"0,3","7,8","2,2","1,2","6,6","3,7","4,2","0,8","0,5","0,0",Тамбовская область
"0,3","12,4","3,1","2,7","7,5","3,6","5,5","0,7","0,4","0,0",Тверская область
"0,3","10,3","2,2","1,6","4,2","2,9","4,6","0,8","0,3","0,0",Тульская область
"0,3","10,5","2,6","2,7","5,1","3,4","4,8","0,9","0,5","0,0",Ярославская область
"1,5","12,3","9,0","3,0","5,6","2,2","3,5","1,0","0,8","0,0",г. Москва
"0,5","13,0","5,2","2,7","6,2","3,3","5,7","0,9","0,4","0,0",федеральный округ
"0,3","9,0","2,1","1,9","10,0","3,9","7,2","0,8","0,3","0,0",Республика Карелия
"0,2","5,8","1,7","4,4","7,8","3,6","5,6","0,7","0,3","0,0",Республика Коми
"0,3","7,7","1,2","1,1","8,4","3,1","5,6","0,7","0,3","0,0",Архангельская область
"0,0","1,0","0,6","0,7","4,9","0,9","1,5","0,3","0,0","0,0",Ненецкий автономный округ
"0,4","10,5","1,4","1,2","9,9","4,0","7,2","0,8","0,4","0,0",Архангельская область
"0,4","8,0","2,0","1,5","5,6","2,6","4,5","0,8","0,4","0,0",Вологодская область
"0,3","15,7","3,1","2,5","6,8","2,9","4,4","1,0","0,5","0,0",Калининградская область
"0,2","10,0","2,4","1,7","4,6","2,2","4,1","0,8","0,2","0,0",Ленинградская область
"0,2","4,5","1,8","1,2","8,8","2,5","5,1","0,9","0,4","0,0",Мурманская область
"0,3","8,0","1,5","0,8","6,0","3,1","5,5","1,2","0,3","0,0",Новгородская область
"0,3","10,5","1,2","1,3","10,8","3,8","7,0","1,0","0,7","0,0",Псковская область
"0,7","17,6","8,5","3,5","5,2","3,8","6,4","1,0","0,4","0,0",г. Санкт-Петербург
"0,2","12,2","2,7","1,9","7,1","3,5","5,5","1,0","0,6","0,0",федеральный округ
"0,1","16,6","3,8","2,9","7,9","4,9","6,1","1,1","0,2","0,0",Республика Адыгея
"0,1","6,0","1,0","2,5","15,6","5,1","7,4","0,9","0,1","0,0",Республика Калмыкия
"0,3","15,1","2,1","1,5","9,0","3,7","7,6","1,3","1,4","0,0",Республика Крым
"0,2","12,3","3,4","2,4","6,0","3,4","5,7","1,4","0,6","0,0",Краснодарский край
"0,3","6,2","1,1","2,0","7,4","2,7","4,1","0,4","0,3","0,0",Астраханская область
"0,3","11,1","2,5","1,4","7,4","3,4","5,0","0,6","0,5","0,0",Волгоградская область
"0,3","12,1","2,4","1,3","6,4","3,6","4,9","0,8","0,4","0,0",Ростовская область
"0,0","28,9","4,0","2,0","17,1","2,7","6,0","1,6","1,3","0,0",г. Севастополь
"0,1","9,8","1,3","1,2","11,3","6,1","7,6","0,9","0,6","0,0",Северо-Кавказский федеральный округ
"0,0","7,7","0,5","0,9","7,0","6,0","6,2","0,8","0,7","0,0",Республика Дагестан
"0,0","8,9","0,2","0,5","28,9","11,1","9,8","2,0","0,1","0,0",Республика Ингушетия
"0,1","8,8","1,4","0,9","11,9","6,9","7,8","0,9","0,3","0,0",Кабардино-Балкарская Республика
"0,0","8,3","1,4","1,9","15,2","7,1","8,3","1,6","1,0","0,0",Карачаево-Черкесская Республика
"0,0","18,1","1,0","1,1","15,8","6,0","7,7","1,3","1,0","0,0",Республика Северная Осетия – Алания
"0,0","10,7","0,9","0,4","19,6","11,1","9,4","1,2","0,3","0,0",Чеченская Республика
"0,4","10,0","2,2","1,7","9,6","3,9","7,9","0,6","0,5","0,0",Ставропольский край
